Ticker,Company,Sector
AAPL,Apple Inc.,Information Technology
MSFT,Microsoft Corp.,Information Technology
NVDA,NVIDIA Corp.,Information Technology
AMZN,Amazon.com Inc.,Consumer Discretionary
GOOGL,Alphabet Inc. Class A,Communication Services
META,Meta Platforms Inc.,Communication Services
BRK.B,Berkshire Hathaway Inc.,Financials
LLY,Eli Lilly and Co.,Health Care
JPM,JPMorgan Chase & Co.,Financials
V,Visa Inc.,Financials
XOM,Exxon Mobil Corp.,Energy
WMT,Walmart Inc.,Consumer Staples
COST,Costco Wholesale Corp.,Consumer Staples
MA,Mastercard Inc.,Financials
UNH,UnitedHealth Group Inc.,Health Care
PG,Procter & Gamble Co.,Consumer Staples
JNJ,Johnson & Johnson,Health Care
HD,Home Depot Inc.,Consumer Discretionary
ABBV,AbbVie Inc.,Health Care
BAC,Bank of America Corp.,Financials
