Date,Ticker,Company,Sector,Close,Volume
2026-04-20,AAPL,Apple Inc.,Information Technology,192.86,3824305
2026-04-21,AAPL,Apple Inc.,Information Technology,193.43,4622994
2026-04-22,AAPL,Apple Inc.,Information Technology,195.52,3942843
2026-04-23,AAPL,Apple Inc.,Information Technology,195.83,4770739
2026-04-24,AAPL,Apple Inc.,Information Technology,194.43,8069232
2026-04-27,AAPL,Apple Inc.,Information Technology,194.51,4525595
2026-04-28,AAPL,Apple Inc.,Information Technology,195.52,11594829
2026-04-29,AAPL,Apple Inc.,Information Technology,197.07,12098873
2026-04-30,AAPL,Apple Inc.,Information Technology,198.38,6601318
2026-05-01,AAPL,Apple Inc.,Information Technology,199.48,9546504
2026-05-04,AAPL,Apple Inc.,Information Technology,199.48,12376021
2026-05-05,AAPL,Apple Inc.,Information Technology,202.64,6943625
2026-05-06,AAPL,Apple Inc.,Information Technology,204.38,8868847
2026-05-07,AAPL,Apple Inc.,Information Technology,201.03,4992980
2026-05-08,AAPL,Apple Inc.,Information Technology,200.56,10480204
2026-05-11,AAPL,Apple Inc.,Information Technology,202.59,8807456
2026-05-12,AAPL,Apple Inc.,Information Technology,201.96,4014833
2026-05-13,AAPL,Apple Inc.,Information Technology,203.72,4028673
2026-05-14,AAPL,Apple Inc.,Information Technology,202.5,12976640
2026-05-15,AAPL,Apple Inc.,Information Technology,204.97,3178914
2026-05-18,AAPL,Apple Inc.,Information Technology,207.02,11516059
2026-05-19,AAPL,Apple Inc.,Information Technology,205.03,11124371
2026-05-20,AAPL,Apple Inc.,Information Technology,203.55,12911061
2026-05-21,AAPL,Apple Inc.,Information Technology,204.57,13842501
2026-05-22,AAPL,Apple Inc.,Information Technology,205.52,10182193
2026-05-25,AAPL,Apple Inc.,Information Technology,206.15,10926156
2026-05-26,AAPL,Apple Inc.,Information Technology,203.68,11301674
2026-05-27,AAPL,Apple Inc.,Information Technology,200.64,6474588
2026-05-28,AAPL,Apple Inc.,Information Technology,198.88,4520705
2026-05-29,AAPL,Apple Inc.,Information Technology,198.75,4017351
2026-06-01,AAPL,Apple Inc.,Information Technology,198.89,3093165
2026-06-02,AAPL,Apple Inc.,Information Technology,197.21,9219837
2026-06-03,AAPL,Apple Inc.,Information Technology,199.12,7220166
2026-06-04,AAPL,Apple Inc.,Information Technology,199.47,12338805
2026-06-05,AAPL,Apple Inc.,Information Technology,201.08,10448140
2026-06-08,AAPL,Apple Inc.,Information Technology,200.95,10988486
2026-06-09,AAPL,Apple Inc.,Information Technology,203.93,6671585
2026-06-10,AAPL,Apple Inc.,Information Technology,202.81,4509039
2026-06-11,AAPL,Apple Inc.,Information Technology,202.59,12119714
2026-06-12,AAPL,Apple Inc.,Information Technology,202.02,7316859
2026-06-15,AAPL,Apple Inc.,Information Technology,205.44,11007921
2026-06-16,AAPL,Apple Inc.,Information Technology,204.38,7433458
2026-06-17,AAPL,Apple Inc.,Information Technology,203.69,7611821
2026-06-18,AAPL,Apple Inc.,Information Technology,205.37,11114126
2026-06-19,AAPL,Apple Inc.,Information Technology,205.48,8897796
2026-06-22,AAPL,Apple Inc.,Information Technology,204.73,5625910
2026-06-23,AAPL,Apple Inc.,Information Technology,206.35,5366524
2026-06-24,AAPL,Apple Inc.,Information Technology,210.41,3180815
2026-06-25,AAPL,Apple Inc.,Information Technology,211.91,3451899
2026-06-26,AAPL,Apple Inc.,Information Technology,212.42,7059747
2026-06-29,AAPL,Apple Inc.,Information Technology,215.48,3222906
2026-06-30,AAPL,Apple Inc.,Information Technology,214.56,11776756
2026-07-01,AAPL,Apple Inc.,Information Technology,216.31,12863845
2026-07-02,AAPL,Apple Inc.,Information Technology,217.76,3168404
2026-07-03,AAPL,Apple Inc.,Information Technology,220.44,3873992
2026-07-06,AAPL,Apple Inc.,Information Technology,219.4,13738828
2026-07-07,AAPL,Apple Inc.,Information Technology,217.46,12581291
2026-07-08,AAPL,Apple Inc.,Information Technology,216.59,6697520
2026-07-09,AAPL,Apple Inc.,Information Technology,216.34,12911400
2026-07-10,AAPL,Apple Inc.,Information Technology,215.23,11297809
2026-07-13,AAPL,Apple Inc.,Information Technology,215.4,8249980
2026-07-14,AAPL,Apple Inc.,Information Technology,216.85,3544580
2026-07-15,AAPL,Apple Inc.,Information Technology,215.78,13894098
2026-07-16,AAPL,Apple Inc.,Information Technology,214.02,10698565
2026-07-17,AAPL,Apple Inc.,Information Technology,216.04,8098146
2026-07-20,AAPL,Apple Inc.,Information Technology,215.76,8314925
2026-07-21,AAPL,Apple Inc.,Information Technology,212.82,11951439
2026-07-22,AAPL,Apple Inc.,Information Technology,213.11,4682658
2026-07-23,AAPL,Apple Inc.,Information Technology,214.08,6679261
2026-07-24,AAPL,Apple Inc.,Information Technology,214.0,10433788
2026-07-27,AAPL,Apple Inc.,Information Technology,213.43,5873509
2026-07-28,AAPL,Apple Inc.,Information Technology,214.63,11202788
2026-07-29,AAPL,Apple Inc.,Information Technology,213.64,4474350
2026-07-30,AAPL,Apple Inc.,Information Technology,215.28,11477554
2026-07-31,AAPL,Apple Inc.,Information Technology,212.27,3739841
2026-08-03,AAPL,Apple Inc.,Information Technology,210.51,8023216
2026-08-04,AAPL,Apple Inc.,Information Technology,211.67,13671140
2026-08-05,AAPL,Apple Inc.,Information Technology,213.8,5224505
2026-08-06,AAPL,Apple Inc.,Information Technology,214.2,11942218
2026-08-07,AAPL,Apple Inc.,Information Technology,214.36,4514642
2026-08-10,AAPL,Apple Inc.,Information Technology,212.18,12466068
2026-08-11,AAPL,Apple Inc.,Information Technology,212.97,6608264
2026-08-12,AAPL,Apple Inc.,Information Technology,210.68,7191677
2026-08-13,AAPL,Apple Inc.,Information Technology,209.91,6442436
2026-08-14,AAPL,Apple Inc.,Information Technology,211.07,2810824
2026-08-17,AAPL,Apple Inc.,Information Technology,208.31,3307100
2026-08-18,AAPL,Apple Inc.,Information Technology,206.99,3091617
2026-08-19,AAPL,Apple Inc.,Information Technology,205.55,6166070
2026-08-20,AAPL,Apple Inc.,Information Technology,207.27,4437257
2026-08-21,AAPL,Apple Inc.,Information Technology,204.29,13361608
2026-04-20,MSFT,Microsoft Corp.,Information Technology,421.27,10008096
2026-04-21,MSFT,Microsoft Corp.,Information Technology,425.19,12862765
2026-04-22,MSFT,Microsoft Corp.,Information Technology,432.0,2470015
2026-04-23,MSFT,Microsoft Corp.,Information Technology,431.9,5781937
2026-04-24,MSFT,Microsoft Corp.,Information Technology,435.18,10330063
2026-04-27,MSFT,Microsoft Corp.,Information Technology,430.1,6647552
2026-04-28,MSFT,Microsoft Corp.,Information Technology,433.12,12122429
2026-04-29,MSFT,Microsoft Corp.,Information Technology,426.36,4548150
2026-04-30,MSFT,Microsoft Corp.,Information Technology,425.57,13761677
2026-05-01,MSFT,Microsoft Corp.,Information Technology,426.71,6215935
2026-05-04,MSFT,Microsoft Corp.,Information Technology,432.17,13603757
2026-05-05,MSFT,Microsoft Corp.,Information Technology,424.87,5573040
2026-05-06,MSFT,Microsoft Corp.,Information Technology,429.36,6303104
2026-05-07,MSFT,Microsoft Corp.,Information Technology,433.02,7939496
2026-05-08,MSFT,Microsoft Corp.,Information Technology,433.07,11426920
2026-05-11,MSFT,Microsoft Corp.,Information Technology,435.21,3215819
2026-05-12,MSFT,Microsoft Corp.,Information Technology,431.24,3092370
2026-05-13,MSFT,Microsoft Corp.,Information Technology,437.43,11405471
2026-05-14,MSFT,Microsoft Corp.,Information Technology,439.49,13449604
2026-05-15,MSFT,Microsoft Corp.,Information Technology,435.29,12135595
2026-05-18,MSFT,Microsoft Corp.,Information Technology,436.19,11388830
2026-05-19,MSFT,Microsoft Corp.,Information Technology,432.74,2756821
2026-05-20,MSFT,Microsoft Corp.,Information Technology,426.45,6106400
2026-05-21,MSFT,Microsoft Corp.,Information Technology,424.85,13659520
2026-05-22,MSFT,Microsoft Corp.,Information Technology,430.93,6811046
2026-05-25,MSFT,Microsoft Corp.,Information Technology,430.47,11028143
2026-05-26,MSFT,Microsoft Corp.,Information Technology,434.18,5192482
2026-05-27,MSFT,Microsoft Corp.,Information Technology,435.65,3075001
2026-05-28,MSFT,Microsoft Corp.,Information Technology,436.25,11972180
2026-05-29,MSFT,Microsoft Corp.,Information Technology,441.24,3281078
2026-06-01,MSFT,Microsoft Corp.,Information Technology,442.31,13535667
2026-06-02,MSFT,Microsoft Corp.,Information Technology,447.02,11676130
2026-06-03,MSFT,Microsoft Corp.,Information Technology,443.4,11481782
2026-06-04,MSFT,Microsoft Corp.,Information Technology,441.08,6247118
2026-06-05,MSFT,Microsoft Corp.,Information Technology,443.84,10537178
2026-06-08,MSFT,Microsoft Corp.,Information Technology,441.52,11167994
2026-06-09,MSFT,Microsoft Corp.,Information Technology,440.16,6422277
2026-06-10,MSFT,Microsoft Corp.,Information Technology,442.79,3098174
2026-06-11,MSFT,Microsoft Corp.,Information Technology,443.21,4502850
2026-06-12,MSFT,Microsoft Corp.,Information Technology,448.13,10591623
2026-06-15,MSFT,Microsoft Corp.,Information Technology,443.36,9993911
2026-06-16,MSFT,Microsoft Corp.,Information Technology,443.74,10994308
2026-06-17,MSFT,Microsoft Corp.,Information Technology,444.72,3016590
2026-06-18,MSFT,Microsoft Corp.,Information Technology,451.22,6240375
2026-06-19,MSFT,Microsoft Corp.,Information Technology,445.67,8805779
2026-06-22,MSFT,Microsoft Corp.,Information Technology,444.59,11675512
2026-06-23,MSFT,Microsoft Corp.,Information Technology,442.98,9393352
2026-06-24,MSFT,Microsoft Corp.,Information Technology,440.1,5843630
2026-06-25,MSFT,Microsoft Corp.,Information Technology,441.73,12183246
2026-06-26,MSFT,Microsoft Corp.,Information Technology,445.01,8870837
2026-06-29,MSFT,Microsoft Corp.,Information Technology,439.73,3529195
2026-06-30,MSFT,Microsoft Corp.,Information Technology,441.58,8665580
2026-07-01,MSFT,Microsoft Corp.,Information Technology,436.66,11734713
2026-07-02,MSFT,Microsoft Corp.,Information Technology,445.21,3924529
2026-07-03,MSFT,Microsoft Corp.,Information Technology,447.51,12344403
2026-07-06,MSFT,Microsoft Corp.,Information Technology,446.44,6697439
2026-07-07,MSFT,Microsoft Corp.,Information Technology,446.64,12890617
2026-07-08,MSFT,Microsoft Corp.,Information Technology,444.75,4184310
2026-07-09,MSFT,Microsoft Corp.,Information Technology,452.54,4899515
2026-07-10,MSFT,Microsoft Corp.,Information Technology,450.35,4178987
2026-07-13,MSFT,Microsoft Corp.,Information Technology,445.83,7746893
2026-07-14,MSFT,Microsoft Corp.,Information Technology,449.55,13826162
2026-07-15,MSFT,Microsoft Corp.,Information Technology,450.13,13806186
2026-07-16,MSFT,Microsoft Corp.,Information Technology,451.98,3093624
2026-07-17,MSFT,Microsoft Corp.,Information Technology,446.57,9492041
2026-07-20,MSFT,Microsoft Corp.,Information Technology,443.22,10282019
2026-07-21,MSFT,Microsoft Corp.,Information Technology,447.31,4689869
2026-07-22,MSFT,Microsoft Corp.,Information Technology,444.66,12219593
2026-07-23,MSFT,Microsoft Corp.,Information Technology,442.48,10316094
2026-07-24,MSFT,Microsoft Corp.,Information Technology,445.17,12838744
2026-07-27,MSFT,Microsoft Corp.,Information Technology,445.01,5041624
2026-07-28,MSFT,Microsoft Corp.,Information Technology,447.83,3064739
2026-07-29,MSFT,Microsoft Corp.,Information Technology,446.4,10615637
2026-07-30,MSFT,Microsoft Corp.,Information Technology,448.03,13210770
2026-07-31,MSFT,Microsoft Corp.,Information Technology,447.68,8587555
2026-08-03,MSFT,Microsoft Corp.,Information Technology,447.72,6724041
2026-08-04,MSFT,Microsoft Corp.,Information Technology,449.4,3541898
2026-08-05,MSFT,Microsoft Corp.,Information Technology,447.9,7660768
2026-08-06,MSFT,Microsoft Corp.,Information Technology,452.23,3516397
2026-08-07,MSFT,Microsoft Corp.,Information Technology,454.54,6454461
2026-08-10,MSFT,Microsoft Corp.,Information Technology,456.61,12487457
2026-08-11,MSFT,Microsoft Corp.,Information Technology,459.6,9277815
2026-08-12,MSFT,Microsoft Corp.,Information Technology,463.44,3410901
2026-08-13,MSFT,Microsoft Corp.,Information Technology,461.9,6638204
2026-08-14,MSFT,Microsoft Corp.,Information Technology,457.61,13708987
2026-08-17,MSFT,Microsoft Corp.,Information Technology,455.6,7047321
2026-08-18,MSFT,Microsoft Corp.,Information Technology,458.39,5899619
2026-08-19,MSFT,Microsoft Corp.,Information Technology,456.44,3668075
2026-08-20,MSFT,Microsoft Corp.,Information Technology,459.6,6501039
2026-08-21,MSFT,Microsoft Corp.,Information Technology,459.22,7688403
